# z(m) T(K)
0.000000e+00 4.756147e+03
1.256281e-05 2.371672e+03
2.512563e-05 1.141458e+03
3.768844e-05 6.110049e+02
5.025126e-05 4.051240e+02
6.281407e-05 3.307607e+02
7.537688e-05 3.052724e+02
8.793970e-05 2.968775e+02
1.005025e-04 2.941974e+02
1.130653e-04 2.933629e+02
1.256281e-04 2.931083e+02
1.381910e-04 2.930319e+02
1.507538e-04 2.930093e+02
1.633166e-04 2.930027e+02
1.758794e-04 2.930008e+02
1.884422e-04 2.930002e+02
2.010050e-04 2.930001e+02
2.135678e-04 2.930000e+02
2.261307e-04 2.930000e+02
2.386935e-04 2.930000e+02
2.512563e-04 2.930000e+02
2.638191e-04 2.930000e+02
2.763819e-04 2.930000e+02
2.889447e-04 2.930000e+02
3.015075e-04 2.930000e+02
3.140704e-04 2.930000e+02
3.266332e-04 2.930000e+02
3.391960e-04 2.930000e+02
3.517588e-04 2.930000e+02
3.643216e-04 2.930000e+02
3.768844e-04 2.930000e+02
3.894472e-04 2.930000e+02
4.020101e-04 2.930000e+02
4.145729e-04 2.930000e+02
4.271357e-04 2.930000e+02
4.396985e-04 2.930000e+02
4.522613e-04 2.930000e+02
4.648241e-04 2.930000e+02
4.773869e-04 2.930000e+02
4.899497e-04 2.930000e+02
5.025126e-04 2.930000e+02
5.150754e-04 2.930000e+02
5.276382e-04 2.930000e+02
5.402010e-04 2.930000e+02
5.527638e-04 2.930000e+02
5.653266e-04 2.930000e+02
5.778894e-04 2.930000e+02
5.904523e-04 2.930000e+02
6.030151e-04 2.930000e+02
6.155779e-04 2.930000e+02
6.281407e-04 2.930000e+02
6.407035e-04 2.930000e+02
6.532663e-04 2.930000e+02
6.658291e-04 2.930000e+02
6.783920e-04 2.930000e+02
6.909548e-04 2.930000e+02
7.035176e-04 2.930000e+02
7.160804e-04 2.930000e+02
7.286432e-04 2.930000e+02
7.412060e-04 2.930000e+02
7.537688e-04 2.930000e+02
7.663317e-04 2.930000e+02
7.788945e-04 2.930000e+02
7.914573e-04 2.930000e+02
8.040201e-04 2.930000e+02
8.165829e-04 2.930000e+02
8.291457e-04 2.930000e+02
8.417085e-04 2.930000e+02
8.542714e-04 2.930000e+02
8.668342e-04 2.930000e+02
8.793970e-04 2.930000e+02
