Tested_Variable,Variable_Value,nx,ny,nz,L2_abs,L2_rel,Linf
nx,10,10,300,1800,0.005183878413566372,0.13909981352236678,8587.223510742188
nx,15,15,300,1800,0.0038834398578090623,0.10354397841519644,5838.8591674734835
nx,24,24,300,1800,0.002883095595342526,0.07727278954440904,7117.98388671875
nx,37,37,300,1800,0.001903044544800064,0.050909865674577094,5056.109279506697
nx,58,58,300,1800,0.0009764337200199317,0.026144672304485722,2911.6884765625
nx,89,89,300,1800,0.00029635969052651157,0.00793410987859429,772.3544124894943
nx,138,138,300,1800,5.230015262196489e-05,0.001400122468418181,184.55122564309931
nx,214,214,300,1800,4.1958016631121265e-05,0.001123256885746805,117.1640021725525
nx,331,331,300,1800,4.0726141429012954e-05,0.0010902797336622375,105.8404435778366
nx,512,512,300,1800,4.196776704604336e-05,0.0011235195323007427,116.84097351857054
ny,10,800,10,1800,0.008241298920914611,0.22501839263620113,10991.893509058924
ny,14,800,14,1800,0.0068687523237297475,0.18742067116534822,10812.634857564262
ny,21,800,21,1800,0.004514187983602315,0.11844467387513036,5372.096529295388
ny,29,800,29,1800,0.002137903852471791,0.056838017524139674,2852.497510950835
ny,42,800,42,1800,0.0006871259853094251,0.018409271743025892,2185.0819596557885
ny,61,800,61,1800,0.00011611034410517737,0.0031082963669725287,217.06869252204388
ny,87,800,87,1800,4.297284406972569e-05,0.0011504105956132052,81.40572662400245
ny,125,800,125,1800,4.0328874736878266e-05,0.001079629873950266,93.01792278391076
ny,179,800,179,1800,4.040490781330244e-05,0.001081665334913529,64.33556249062713
ny,256,800,256,1800,3.955786481853392e-05,0.0010589894531107145,107.51384518537634
nz,10,800,300,10,0.004531860001492365,0.12160633310452314,8552.278221652185
nz,17,800,300,17,0.0026722624679765927,0.07164544148900877,7118.3371863242255
nz,30,800,300,30,0.0013462288742297262,0.036077265876691314,5108.406077417207
nz,53,800,300,53,0.0006415808706237558,0.017189102894552062,3205.2158203125
nz,93,800,300,93,0.00036748655019448636,0.009843063488715212,1889.58203125
nz,162,800,300,162,0.0002149333915017463,0.005755668623887414,1087.5517578125
nz,282,800,300,282,0.00012810402946588576,0.0034300384687146928,624.394630048093
nz,493,800,300,493,8.047902552850497e-05,0.0021546881854004165,379.99277747450105
nz,860,800,300,860,5.6260015297933425e-05,0.0015061941958257703,240.54242068652093
nz,1500,800,300,1500,4.507471298837422e-05,0.0012067081229342315,160.6263967279483
nz,1800,800,300,1800,3.955786481853392e-05,0.0010589894531107145,107.51384518537634
nz,2000,800,300,2000,4.213245e-05,1.127929e-03,1.337840e+02
