Tested_Variable,Variable_Value,nx,ny,nz,L2_abs,L2_rel,Linf
nx,10,10,256,1024,0.005204727471955758,0.13965816901110306,8587.222900390625
nx,15,15,256,1024,0.0038716774130699507,0.10323921890676625,5790.7356323172335
nx,24,24,256,1024,0.0028928511991253665,0.07753326823812536,7118.2138671875
nx,37,37,256,1024,0.0019017986650508585,0.050878010885000005,5008.049709194197
nx,58,58,256,1024,0.001000085333276591,0.026777890094219704,2945.92236328125
nx,89,89,256,1024,0.00034223391512395096,0.00916231065031576,725.0460839069297
nx,138,138,256,1024,0.00018152435895925232,0.004859598675477497,229.0087890625
nx,214,214,256,1024,0.00017600212842640214,0.0047117743762156985,159.001953125
nx,331,331,256,1024,0.0001744158283784872,0.004669312881234482,142.44973412112085
nx,512,512,256,1024,0.00017458507131974186,0.004673844811757699,158.6640625
ny,10,512,10,1024,0.008225300730518727,0.22458158500200404,10991.904296875
ny,14,512,14,1024,0.006851659634904103,0.18695429006045342,10813.360931396484
ny,21,512,21,1024,0.004525787656121616,0.11875407180643585,5341.501593261613
ny,29,512,29,1024,0.002147595671738076,0.05709745945430814,2821.5595283447365
ny,42,512,42,1024,0.000708335716132184,0.01897783541566995,2213.2646484375
ny,61,512,61,1024,0.00020479301651313926,0.005482455528611462,220.59466803318583
ny,87,512,87,1024,0.00017466731549248623,0.004676046408830247,112.4876008345368
ny,125,512,125,1024,0.00017478949561419458,0.004679317483359046,141.9654107862898
ny,179,512,179,1024,0.00017419037150361632,0.004663278239442949,112.85463259542598
ny,256,512,256,1024,0.00017458507131974186,0.004673844811757699,158.6640625
nz,10,512,256,10,0.004531119497110897,0.1215850933524063,8548.364990234375
nz,17,512,256,17,0.0026732472421295774,0.07167081731746977,7111.32421875
nz,28,512,256,28,0.0014790738517045199,0.03963805235563774,5351.7880859375
nz,47,512,256,47,0.0007487414125006554,0.020062361655494725,3556.99560546875
nz,78,512,256,78,0.0004763727843380647,0.012759948241627034,2240.78955078125
nz,131,512,256,131,0.0003088983002838185,0.008272352455004964,1346.068359375
nz,219,512,256,219,0.00022901348249931098,0.006132121985175003,801.3857421875
nz,366,512,256,366,0.00019368813707054054,0.005185749222873082,473.3037109375
nz,612,512,256,612,0.0001796840208900303,0.00481052436861236,276.5009765625
nz,1024,512,256,1024,0.00017458539696455682,0.0046738537253164635,158.6669921875
