# x(m) T(K)
0.000000e+00 3.058149e+02
2.506266e-05 3.067283e+02
5.012531e-05 3.076475e+02
7.518797e-05 3.085672e+02
1.002506e-04 3.094821e+02
1.253133e-04 3.103868e+02
1.503759e-04 3.112762e+02
1.754386e-04 3.121456e+02
2.005013e-04 3.129903e+02
2.255639e-04 3.138064e+02
2.506266e-04 3.145901e+02
2.756892e-04 3.153384e+02
3.007519e-04 3.160485e+02
3.258145e-04 3.167184e+02
3.508772e-04 3.173466e+02
3.759398e-04 3.179320e+02
4.010025e-04 3.184741e+02
4.260652e-04 3.189731e+02
4.511278e-04 3.194296e+02
4.761905e-04 3.198447e+02
5.012531e-04 3.202198e+02
5.263158e-04 3.205569e+02
5.513784e-04 3.208583e+02
5.764411e-04 3.211265e+02
6.015038e-04 3.213644e+02
6.265664e-04 3.215748e+02
6.516291e-04 3.217608e+02
6.766917e-04 3.219256e+02
7.017544e-04 3.220721e+02
7.268170e-04 3.222033e+02
7.518797e-04 3.223220e+02
7.769424e-04 3.224309e+02
8.020050e-04 3.225321e+02
8.270677e-04 3.226277e+02
8.521303e-04 3.227195e+02
8.771930e-04 3.228089e+02
9.022556e-04 3.228971e+02
9.273183e-04 3.229847e+02
9.523810e-04 3.230725e+02
9.774436e-04 3.231606e+02
1.002506e-03 3.232494e+02
1.027569e-03 3.233387e+02
1.052632e-03 3.234285e+02
1.077694e-03 3.235187e+02
1.102757e-03 3.236090e+02
1.127820e-03 3.236994e+02
1.152882e-03 3.237896e+02
1.177945e-03 3.238797e+02
1.203008e-03 3.239697e+02
1.228070e-03 3.240595e+02
1.253133e-03 3.241493e+02
1.278195e-03 3.242393e+02
1.303258e-03 3.243297e+02
1.328321e-03 3.244205e+02
1.353383e-03 3.245120e+02
1.378446e-03 3.246044e+02
1.403509e-03 3.246977e+02
1.428571e-03 3.247921e+02
1.453634e-03 3.248876e+02
1.478697e-03 3.249842e+02
1.503759e-03 3.250819e+02
1.528822e-03 3.251807e+02
1.553885e-03 3.252806e+02
1.578947e-03 3.253814e+02
1.604010e-03 3.254833e+02
1.629073e-03 3.255861e+02
1.654135e-03 3.256898e+02
1.679198e-03 3.257946e+02
1.704261e-03 3.259005e+02
1.729323e-03 3.260076e+02
1.754386e-03 3.261160e+02
1.779449e-03 3.262257e+02
1.804511e-03 3.263369e+02
1.829574e-03 3.264497e+02
1.854637e-03 3.265641e+02
1.879699e-03 3.266802e+02
1.904762e-03 3.267980e+02
1.929825e-03 3.269174e+02
1.954887e-03 3.270385e+02
1.979950e-03 3.271611e+02
2.005013e-03 3.272851e+02
2.030075e-03 3.274102e+02
2.055138e-03 3.275364e+02
2.080201e-03 3.276635e+02
2.105263e-03 3.277911e+02
2.130326e-03 3.279191e+02
2.155388e-03 3.280474e+02
2.180451e-03 3.281756e+02
2.205514e-03 3.283036e+02
2.230576e-03 3.284312e+02
2.255639e-03 3.285585e+02
2.280702e-03 3.286853e+02
2.305764e-03 3.288115e+02
2.330827e-03 3.289373e+02
2.355890e-03 3.290626e+02
2.380952e-03 3.291877e+02
2.406015e-03 3.293127e+02
2.431078e-03 3.294377e+02
2.456140e-03 3.295631e+02
2.481203e-03 3.296891e+02
2.506266e-03 3.298159e+02
2.531328e-03 3.299439e+02
2.556391e-03 3.300732e+02
2.581454e-03 3.302042e+02
2.606516e-03 3.303369e+02
2.631579e-03 3.304717e+02
2.656642e-03 3.306087e+02
2.681704e-03 3.307478e+02
2.706767e-03 3.308891e+02
2.731830e-03 3.310325e+02
2.756892e-03 3.311778e+02
2.781955e-03 3.313249e+02
2.807018e-03 3.314734e+02
2.832080e-03 3.316230e+02
2.857143e-03 3.317732e+02
2.882206e-03 3.319237e+02
2.907268e-03 3.320739e+02
2.932331e-03 3.322235e+02
2.957393e-03 3.323718e+02
2.982456e-03 3.325185e+02
3.007519e-03 3.326632e+02
3.032581e-03 3.328057e+02
3.057644e-03 3.329458e+02
3.082707e-03 3.330833e+02
3.107769e-03 3.332183e+02
3.132832e-03 3.333510e+02
3.157895e-03 3.334815e+02
3.182957e-03 3.336103e+02
3.208020e-03 3.337378e+02
3.233083e-03 3.338646e+02
3.258145e-03 3.339912e+02
3.283208e-03 3.341182e+02
3.308271e-03 3.342463e+02
3.333333e-03 3.343760e+02
3.358396e-03 3.345080e+02
3.383459e-03 3.346426e+02
3.408521e-03 3.347804e+02
3.433584e-03 3.349218e+02
3.458647e-03 3.350670e+02
3.483709e-03 3.352163e+02
3.508772e-03 3.353698e+02
3.533835e-03 3.355276e+02
3.558897e-03 3.356896e+02
3.583960e-03 3.358558e+02
3.609023e-03 3.360260e+02
3.634085e-03 3.362001e+02
3.659148e-03 3.363776e+02
3.684211e-03 3.365583e+02
3.709273e-03 3.367418e+02
3.734336e-03 3.369277e+02
3.759398e-03 3.371156e+02
3.784461e-03 3.373049e+02
3.809524e-03 3.374953e+02
3.834586e-03 3.376863e+02
3.859649e-03 3.378776e+02
3.884712e-03 3.380690e+02
3.909774e-03 3.382603e+02
3.934837e-03 3.384514e+02
3.959900e-03 3.386423e+02
3.984962e-03 3.388333e+02
4.010025e-03 3.390245e+02
4.035088e-03 3.392161e+02
4.060150e-03 3.394085e+02
4.085213e-03 3.396020e+02
4.110276e-03 3.397967e+02
4.135338e-03 3.399930e+02
4.160401e-03 3.401908e+02
4.185464e-03 3.403903e+02
4.210526e-03 3.405914e+02
4.235589e-03 3.407940e+02
4.260652e-03 3.409978e+02
4.285714e-03 3.412028e+02
4.310777e-03 3.414086e+02
4.335840e-03 3.416152e+02
4.360902e-03 3.418224e+02
4.385965e-03 3.420302e+02
4.411028e-03 3.422386e+02
4.436090e-03 3.424479e+02
4.461153e-03 3.426582e+02
4.486216e-03 3.428700e+02
4.511278e-03 3.430836e+02
4.536341e-03 3.432994e+02
4.561404e-03 3.435179e+02
4.586466e-03 3.437396e+02
4.611529e-03 3.439648e+02
4.636591e-03 3.441939e+02
4.661654e-03 3.444272e+02
4.686717e-03 3.446648e+02
4.711779e-03 3.449069e+02
4.736842e-03 3.451536e+02
4.761905e-03 3.454050e+02
4.786967e-03 3.456611e+02
4.812030e-03 3.459219e+02
4.837093e-03 3.461876e+02
4.862155e-03 3.464584e+02
4.887218e-03 3.467345e+02
4.912281e-03 3.470163e+02
4.937343e-03 3.473044e+02
4.962406e-03 3.475991e+02
4.987469e-03 3.479010e+02
5.012531e-03 3.482107e+02
5.037594e-03 3.485286e+02
5.062657e-03 3.488551e+02
5.087719e-03 3.491903e+02
5.112782e-03 3.495341e+02
5.137845e-03 3.498860e+02
5.162907e-03 3.502456e+02
5.187970e-03 3.506118e+02
5.213033e-03 3.509835e+02
5.238095e-03 3.513593e+02
5.263158e-03 3.517378e+02
5.288221e-03 3.521173e+02
5.313283e-03 3.524965e+02
5.338346e-03 3.528738e+02
5.363409e-03 3.532482e+02
5.388471e-03 3.536187e+02
5.413534e-03 3.539847e+02
5.438596e-03 3.543460e+02
5.463659e-03 3.547026e+02
5.488722e-03 3.550552e+02
5.513784e-03 3.554044e+02
5.538847e-03 3.557515e+02
5.563910e-03 3.560979e+02
5.588972e-03 3.564455e+02
5.614035e-03 3.567962e+02
5.639098e-03 3.571524e+02
5.664160e-03 3.575166e+02
5.689223e-03 3.578912e+02
5.714286e-03 3.582791e+02
5.739348e-03 3.586827e+02
5.764411e-03 3.591044e+02
5.789474e-03 3.595462e+02
5.814536e-03 3.600095e+02
5.839599e-03 3.604952e+02
5.864662e-03 3.610032e+02
5.889724e-03 3.615325e+02
5.914787e-03 3.620813e+02
5.939850e-03 3.626469e+02
5.964912e-03 3.632257e+02
5.989975e-03 3.638138e+02
6.015038e-03 3.644069e+02
6.040100e-03 3.650006e+02
6.065163e-03 3.655912e+02
6.090226e-03 3.661751e+02
6.115288e-03 3.667497e+02
6.140351e-03 3.673135e+02
6.165414e-03 3.678660e+02
6.190476e-03 3.684077e+02
6.215539e-03 3.689402e+02
6.240602e-03 3.694658e+02
6.265664e-03 3.699876e+02
6.290727e-03 3.705091e+02
6.315789e-03 3.710338e+02
6.340852e-03 3.715653e+02
6.365915e-03 3.721068e+02
6.390977e-03 3.726610e+02
6.416040e-03 3.732301e+02
6.441103e-03 3.738156e+02
6.466165e-03 3.744184e+02
6.491228e-03 3.750389e+02
6.516291e-03 3.756769e+02
6.541353e-03 3.763320e+02
6.566416e-03 3.770034e+02
6.591479e-03 3.776905e+02
6.616541e-03 3.783922e+02
6.641604e-03 3.791080e+02
6.666667e-03 3.798371e+02
6.691729e-03 3.805793e+02
6.716792e-03 3.813342e+02
6.741855e-03 3.821018e+02
6.766917e-03 3.828822e+02
6.791980e-03 3.836755e+02
6.817043e-03 3.844822e+02
6.842105e-03 3.853026e+02
6.867168e-03 3.861371e+02
6.892231e-03 3.869864e+02
6.917293e-03 3.878508e+02
6.942356e-03 3.887310e+02
6.967419e-03 3.896274e+02
6.992481e-03 3.905407e+02
7.017544e-03 3.914713e+02
7.042607e-03 3.924198e+02
7.067669e-03 3.933867e+02
7.092732e-03 3.943726e+02
7.117794e-03 3.953781e+02
7.142857e-03 3.964037e+02
7.167920e-03 3.974501e+02
7.192982e-03 3.985177e+02
7.218045e-03 3.996073e+02
7.243108e-03 4.007195e+02
7.268170e-03 4.018551e+02
7.293233e-03 4.030148e+02
7.318296e-03 4.041993e+02
7.343358e-03 4.054096e+02
7.368421e-03 4.066464e+02
7.393484e-03 4.079107e+02
7.418546e-03 4.092035e+02
7.443609e-03 4.105257e+02
7.468672e-03 4.118784e+02
7.493734e-03 4.132626e+02
7.518797e-03 4.146796e+02
7.543860e-03 4.161303e+02
7.568922e-03 4.176161e+02
7.593985e-03 4.191383e+02
7.619048e-03 4.206982e+02
7.644110e-03 4.222972e+02
7.669173e-03 4.239368e+02
7.694236e-03 4.256185e+02
7.719298e-03 4.273440e+02
7.744361e-03 4.291151e+02
7.769424e-03 4.309335e+02
7.794486e-03 4.328012e+02
7.819549e-03 4.347201e+02
7.844612e-03 4.366926e+02
7.869674e-03 4.387207e+02
