# y(m) T(K)
0.000000e+00 2.930000e+02
2.512563e-05 2.930000e+02
5.025126e-05 2.930000e+02
7.537688e-05 2.930000e+02
1.005025e-04 2.930000e+02
1.256281e-04 2.930000e+02
1.507538e-04 2.930000e+02
1.758794e-04 2.930000e+02
2.010050e-04 2.930000e+02
2.261307e-04 2.930000e+02
2.512563e-04 2.930000e+02
2.763819e-04 2.930000e+02
3.015075e-04 2.930000e+02
3.266332e-04 2.930000e+02
3.517588e-04 2.930000e+02
3.768844e-04 2.930000e+02
4.020101e-04 2.930000e+02
4.271357e-04 2.930000e+02
4.522613e-04 2.930000e+02
4.773869e-04 2.930000e+02
5.025126e-04 2.930000e+02
5.276382e-04 2.930000e+02
5.527638e-04 2.930000e+02
5.778894e-04 2.930000e+02
6.030151e-04 2.930000e+02
6.281407e-04 2.930000e+02
6.532663e-04 2.930000e+02
6.783920e-04 2.930000e+02
7.035176e-04 2.930000e+02
7.286432e-04 2.930000e+02
7.537688e-04 2.930000e+02
7.788945e-04 2.930000e+02
8.040201e-04 2.930000e+02
8.291457e-04 2.930000e+02
8.542714e-04 2.930000e+02
8.793970e-04 2.930000e+02
9.045226e-04 2.930000e+02
9.296482e-04 2.930000e+02
9.547739e-04 2.930000e+02
9.798995e-04 2.930000e+02
1.005025e-03 2.930000e+02
1.030151e-03 2.930000e+02
1.055276e-03 2.930000e+02
1.080402e-03 2.930000e+02
1.105528e-03 2.930000e+02
1.130653e-03 2.930000e+02
1.155779e-03 2.930000e+02
1.180905e-03 2.930000e+02
1.206030e-03 2.930000e+02
1.231156e-03 2.930000e+02
1.256281e-03 2.930000e+02
1.281407e-03 2.930000e+02
1.306533e-03 2.930000e+02
1.331658e-03 2.930000e+02
1.356784e-03 2.930000e+02
1.381910e-03 2.930000e+02
1.407035e-03 2.930000e+02
1.432161e-03 2.930000e+02
1.457286e-03 2.930000e+02
1.482412e-03 2.930000e+02
1.507538e-03 2.930000e+02
1.532663e-03 2.930000e+02
1.557789e-03 2.930000e+02
1.582915e-03 2.930000e+02
1.608040e-03 2.930000e+02
1.633166e-03 2.930000e+02
1.658291e-03 2.930000e+02
1.683417e-03 2.930000e+02
1.708543e-03 2.930000e+02
1.733668e-03 2.930000e+02
1.758794e-03 2.930000e+02
1.783920e-03 2.930000e+02
1.809045e-03 2.930000e+02
1.834171e-03 2.930000e+02
1.859296e-03 2.930000e+02
1.884422e-03 2.930000e+02
1.909548e-03 2.930000e+02
1.934673e-03 2.930000e+02
1.959799e-03 2.930000e+02
1.984925e-03 2.930000e+02
2.010050e-03 2.930000e+02
2.035176e-03 2.930000e+02
2.060302e-03 2.930000e+02
2.085427e-03 2.930000e+02
2.110553e-03 2.930000e+02
2.135678e-03 2.930000e+02
2.160804e-03 2.930000e+02
2.185930e-03 2.930000e+02
2.211055e-03 2.930000e+02
2.236181e-03 2.930000e+02
2.261307e-03 2.930002e+02
2.286432e-03 2.930019e+02
2.311558e-03 2.930212e+02
2.336683e-03 2.932295e+02
2.361809e-03 2.953035e+02
2.386935e-03 3.135680e+02
2.412060e-03 4.407955e+02
2.437186e-03 1.035666e+03
2.462312e-03 2.605599e+03
2.487437e-03 4.439778e+03
2.512563e-03 4.439778e+03
2.537688e-03 2.605599e+03
2.562814e-03 1.035666e+03
2.587940e-03 4.407955e+02
2.613065e-03 3.135680e+02
2.638191e-03 2.953035e+02
2.663317e-03 2.932295e+02
2.688442e-03 2.930212e+02
2.713568e-03 2.930019e+02
2.738693e-03 2.930002e+02
2.763819e-03 2.930000e+02
2.788945e-03 2.930000e+02
2.814070e-03 2.930000e+02
2.839196e-03 2.930000e+02
2.864322e-03 2.930000e+02
2.889447e-03 2.930000e+02
2.914573e-03 2.930000e+02
2.939698e-03 2.930000e+02
2.964824e-03 2.930000e+02
2.989950e-03 2.930000e+02
3.015075e-03 2.930000e+02
3.040201e-03 2.930000e+02
3.065327e-03 2.930000e+02
3.090452e-03 2.930000e+02
3.115578e-03 2.930000e+02
3.140704e-03 2.930000e+02
3.165829e-03 2.930000e+02
3.190955e-03 2.930000e+02
3.216080e-03 2.930000e+02
3.241206e-03 2.930000e+02
3.266332e-03 2.930000e+02
3.291457e-03 2.930000e+02
3.316583e-03 2.930000e+02
3.341709e-03 2.930000e+02
3.366834e-03 2.930000e+02
3.391960e-03 2.930000e+02
3.417085e-03 2.930000e+02
3.442211e-03 2.930000e+02
3.467337e-03 2.930000e+02
3.492462e-03 2.930000e+02
3.517588e-03 2.930000e+02
3.542714e-03 2.930000e+02
3.567839e-03 2.930000e+02
3.592965e-03 2.930000e+02
3.618090e-03 2.930000e+02
3.643216e-03 2.930000e+02
3.668342e-03 2.930000e+02
3.693467e-03 2.930000e+02
3.718593e-03 2.930000e+02
3.743719e-03 2.930000e+02
3.768844e-03 2.930000e+02
3.793970e-03 2.930000e+02
3.819095e-03 2.930000e+02
3.844221e-03 2.930000e+02
3.869347e-03 2.930000e+02
3.894472e-03 2.930000e+02
3.919598e-03 2.930000e+02
3.944724e-03 2.930000e+02
3.969849e-03 2.930000e+02
3.994975e-03 2.930000e+02
4.020101e-03 2.930000e+02
4.045226e-03 2.930000e+02
4.070352e-03 2.930000e+02
4.095477e-03 2.930000e+02
4.120603e-03 2.930000e+02
4.145729e-03 2.930000e+02
4.170854e-03 2.930000e+02
4.195980e-03 2.930000e+02
4.221106e-03 2.930000e+02
4.246231e-03 2.930000e+02
4.271357e-03 2.930000e+02
4.296482e-03 2.930000e+02
4.321608e-03 2.930000e+02
4.346734e-03 2.930000e+02
4.371859e-03 2.930000e+02
4.396985e-03 2.930000e+02
4.422111e-03 2.930000e+02
4.447236e-03 2.930000e+02
4.472362e-03 2.930000e+02
4.497487e-03 2.930000e+02
4.522613e-03 2.930000e+02
4.547739e-03 2.930000e+02
4.572864e-03 2.930000e+02
4.597990e-03 2.930000e+02
4.623116e-03 2.930000e+02
4.648241e-03 2.930000e+02
4.673367e-03 2.930000e+02
4.698492e-03 2.930000e+02
4.723618e-03 2.930000e+02
