# x_m T_K
0.000000e+00 3.261364e+02
1.956947e-05 3.262041e+02
3.913894e-05 3.262720e+02
5.870841e-05 3.263402e+02
7.827789e-05 3.264087e+02
9.784736e-05 3.264775e+02
1.174168e-04 3.265465e+02
1.369863e-04 3.266158e+02
1.565558e-04 3.266855e+02
1.761252e-04 3.267554e+02
1.956947e-04 3.268256e+02
2.152642e-04 3.268961e+02
2.348337e-04 3.269669e+02
2.544031e-04 3.270380e+02
2.739726e-04 3.271094e+02
2.935421e-04 3.271810e+02
3.131115e-04 3.272530e+02
3.326810e-04 3.273253e+02
3.522505e-04 3.273979e+02
3.718200e-04 3.274708e+02
3.913894e-04 3.275440e+02
4.109589e-04 3.276176e+02
4.305284e-04 3.276914e+02
4.500978e-04 3.277656e+02
4.696673e-04 3.278400e+02
4.892368e-04 3.279148e+02
5.088063e-04 3.279899e+02
5.283757e-04 3.280654e+02
5.479452e-04 3.281411e+02
5.675147e-04 3.282172e+02
5.870841e-04 3.282937e+02
6.066536e-04 3.283704e+02
6.262231e-04 3.284475e+02
6.457926e-04 3.285249e+02
6.653620e-04 3.286027e+02
6.849315e-04 3.286808e+02
7.045010e-04 3.287593e+02
7.240705e-04 3.288381e+02
7.436399e-04 3.289172e+02
7.632094e-04 3.289967e+02
7.827789e-04 3.290765e+02
8.023483e-04 3.291567e+02
8.219178e-04 3.292373e+02
8.414873e-04 3.293182e+02
8.610568e-04 3.293995e+02
8.806262e-04 3.294811e+02
9.001957e-04 3.295632e+02
9.197652e-04 3.296455e+02
9.393346e-04 3.297283e+02
9.589041e-04 3.298114e+02
9.784736e-04 3.298949e+02
9.980431e-04 3.299788e+02
1.017613e-03 3.300631e+02
1.037182e-03 3.301477e+02
1.056751e-03 3.302328e+02
1.076321e-03 3.303182e+02
1.095890e-03 3.304040e+02
1.115460e-03 3.304903e+02
1.135029e-03 3.305769e+02
1.154599e-03 3.306639e+02
1.174168e-03 3.307513e+02
1.193738e-03 3.308392e+02
1.213307e-03 3.309274e+02
1.232877e-03 3.310161e+02
1.252446e-03 3.311051e+02
1.272016e-03 3.311946e+02
1.291585e-03 3.312845e+02
1.311155e-03 3.313749e+02
1.330724e-03 3.314656e+02
1.350294e-03 3.315568e+02
1.369863e-03 3.316484e+02
1.389432e-03 3.317405e+02
1.409002e-03 3.318330e+02
1.428571e-03 3.319259e+02
1.448141e-03 3.320193e+02
1.467710e-03 3.321132e+02
1.487280e-03 3.322074e+02
1.506849e-03 3.323022e+02
1.526419e-03 3.323974e+02
1.545988e-03 3.324931e+02
1.565558e-03 3.325892e+02
1.585127e-03 3.326858e+02
1.604697e-03 3.327829e+02
1.624266e-03 3.328804e+02
1.643836e-03 3.329785e+02
1.663405e-03 3.330770e+02
1.682975e-03 3.331760e+02
1.702544e-03 3.332755e+02
1.722114e-03 3.333754e+02
1.741683e-03 3.334759e+02
1.761252e-03 3.335769e+02
1.780822e-03 3.336784e+02
1.800391e-03 3.337804e+02
1.819961e-03 3.338829e+02
1.839530e-03 3.339859e+02
1.859100e-03 3.340895e+02
1.878669e-03 3.341935e+02
1.898239e-03 3.342981e+02
1.917808e-03 3.344033e+02
1.937378e-03 3.345089e+02
1.956947e-03 3.346152e+02
1.976517e-03 3.347219e+02
1.996086e-03 3.348292e+02
2.015656e-03 3.349371e+02
2.035225e-03 3.350455e+02
2.054795e-03 3.351545e+02
2.074364e-03 3.352640e+02
2.093933e-03 3.353741e+02
2.113503e-03 3.354848e+02
2.133072e-03 3.355961e+02
2.152642e-03 3.357079e+02
2.172211e-03 3.358204e+02
2.191781e-03 3.359334e+02
2.211350e-03 3.360471e+02
2.230920e-03 3.361613e+02
2.250489e-03 3.362761e+02
2.270059e-03 3.363916e+02
2.289628e-03 3.365077e+02
2.309198e-03 3.366244e+02
2.328767e-03 3.367417e+02
2.348337e-03 3.368597e+02
2.367906e-03 3.369783e+02
2.387476e-03 3.370975e+02
2.407045e-03 3.372174e+02
2.426614e-03 3.373379e+02
2.446184e-03 3.374591e+02
2.465753e-03 3.375810e+02
2.485323e-03 3.377035e+02
2.504892e-03 3.378268e+02
2.524462e-03 3.379506e+02
2.544031e-03 3.380752e+02
2.563601e-03 3.382005e+02
2.583170e-03 3.383265e+02
2.602740e-03 3.384531e+02
2.622309e-03 3.385805e+02
2.641879e-03 3.387086e+02
2.661448e-03 3.388375e+02
2.681018e-03 3.389670e+02
2.700587e-03 3.390973e+02
2.720157e-03 3.392283e+02
2.739726e-03 3.393601e+02
2.759295e-03 3.394926e+02
2.778865e-03 3.396259e+02
2.798434e-03 3.397600e+02
2.818004e-03 3.398948e+02
2.837573e-03 3.400304e+02
2.857143e-03 3.401668e+02
2.876712e-03 3.403040e+02
2.896282e-03 3.404419e+02
2.915851e-03 3.405807e+02
2.935421e-03 3.407203e+02
2.954990e-03 3.408608e+02
2.974560e-03 3.410020e+02
2.994129e-03 3.411441e+02
3.013699e-03 3.412871e+02
3.033268e-03 3.414309e+02
3.052838e-03 3.415755e+02
3.072407e-03 3.417210e+02
3.091977e-03 3.418674e+02
3.111546e-03 3.420147e+02
3.131115e-03 3.421628e+02
3.150685e-03 3.423119e+02
3.170254e-03 3.424619e+02
3.189824e-03 3.426128e+02
3.209393e-03 3.427646e+02
3.228963e-03 3.429173e+02
3.248532e-03 3.430710e+02
3.268102e-03 3.432256e+02
3.287671e-03 3.433812e+02
3.307241e-03 3.435377e+02
3.326810e-03 3.436953e+02
3.346380e-03 3.438538e+02
3.365949e-03 3.440133e+02
3.385519e-03 3.441738e+02
3.405088e-03 3.443353e+02
3.424658e-03 3.444979e+02
3.444227e-03 3.446614e+02
3.463796e-03 3.448261e+02
3.483366e-03 3.449917e+02
3.502935e-03 3.451585e+02
3.522505e-03 3.453263e+02
3.542074e-03 3.454952e+02
3.561644e-03 3.456652e+02
3.581213e-03 3.458363e+02
3.600783e-03 3.460085e+02
